Categoria,Debit,Credit
Casa - Renda Fontanelas,600.0,0.0
Casa - Renda Monte da Caparica,581.55,0.0
Casa - Supermercado Bilal,596.87,0.0
Casa - Luz,215.98,0.0
Casa - Outros,885.9300000000001,0.0
Pessoal Bilal - Comer fora,911.15,0.0
Pessoal Bilal - Barbeiro,15.0,0.0
Créditos/Seguros Bilal - Wizink,313.67,0.0
Créditos/Seguros Bilal - Despesas Bancárias Bilal,69.05000000000001,0.0
Deslocações Bilal - Transportes,29.770000000000003,0.0
Deslocações Bilal - Carro,21.49,0.0
Deslocações Bilal - Combustível,94.05,0.0
Saúde - Farmácia/Prod.Nat./Exames,64.95,0.0
Saúde - Ginásio,65.9,0.0
Saúde - Lifewave,330.23,0.0
Noah - Pensão de Alimentos,280.0,0.0
"Despesas Profissionais Bilal - Mensalidades (Replit, GPT, etc.)",554.75,0.0
Despesas Profissionais Bilal - Formação Bilal,50.0,0.0
Receitas - Sessões Bilal,0.0,2195.0
Receitas - Soluções IA,0.0,2517.0
Receitas - Lifewave,0.0,945.63
Receitas - Rendas Fontanelas,0.0,988.89
Despesas de Crédito,918.7,0.0
TOTAL,6599.04,6646.52
